"request_creation_time" "request_url" "target_processing_time" "request_verb" 
"2022-04-25T06:34:38.198000Z" "https://api.kobiton.com:443/v1/sessions/4154046/ksl-metadata" "7.28" "GET" 
"2022-04-25T12:06:46.620000Z" "https://api.kobiton.com:443/v1/sessions/4155048/ksl-actions" "7.258" "GET" 
"2022-04-25T03:13:09.729000Z" "https://api.kobiton.com:443/v1/data-sets" "7.12" "POST" 
"2022-04-25T03:16:12.424000Z" "https://api.kobiton.com:443/v1/sessions/4153498/ksl-metadata" "6.998" "GET" 
"2022-04-25T05:12:22.783000Z" "https://api.kobiton.com:443/v1/revisitPlans/settings" "6.961" "POST" 
"2022-04-25T06:36:15.736000Z" "https://api.kobiton.com:443/v1/sessions/4154060/ksl-actions" "6.888" "GET" 
"2022-04-25T06:37:04.226000Z" "https://api.kobiton.com:443/v1/sessions/4154061/ksl-metadata" "6.857" "GET" 
"2022-04-25T00:18:01.158000Z" "https://api.kobiton.com:443/v1/remediationRequests/503638" "6.688" "GET" 
"2022-04-25T07:03:31.747000Z" "https://api.kobiton.com:443/v1/sessions/4154150/ksl-metadata" "6.528" "GET" 
"2022-04-27T20:29:56.470000Z" "https://api.kobiton.com:443/v1/sessions/4167093/ksl-actions" "6.149" "GET" 
"2022-04-26T06:48:18.019000Z" "https://api.kobiton.com:443/v1/revisitPlans/start" "6.041" "POST" 
"2022-04-28T00:43:32.933000Z" "https://api.kobiton.com:443/v1/revisitPlans/start" "5.804" "POST" 
"2022-04-25T01:30:50.088000Z" "https://api.kobiton.com:443/v1/sessions/4153358/revisit-plans" "5.755" "GET" 
"2022-04-25T04:42:02.382000Z" "https://api.kobiton.com:443/v1/sessions/4153718/test-script-generation-info" "5.74" "GET" 
"2022-04-25T05:38:14.411000Z" "https://api.kobiton.com:443/v1/sessions/4153731/revisit-plans" "5.621" "GET" 
"2022-04-27T06:54:13.244000Z" "https://api.kobiton.com:443/v1/sessions/4163761/ksl-actions" "5.309" "GET" 
"2022-04-25T03:38:51.474000Z" "https://api.kobiton.com:443/v1/remediationRequests/503904/action" "5.194" "POST" 
